case_id,ET_LWdice,ET_LWhd95,NET_LWdice,NET_LWhd95,CC_LWdice,CC_LWhd95,ED_LWdice,ED_LWhd95,TC_LWdice,TC_LWhd95,WT_LWdice,WT_LWhd95
BraTS-PED-00001-000,0.0,374.0,0.3675,192.3979,0.0,374.0,0.0844,32.8283,0.3898,192.691,0.4174,192.8737
BraTS-PED-00002-000,0.4497,3.7417,0.8601,2.8284,1.0,0.0,1.0,0.0,0.9416,2.8284,0.9416,2.8284
BraTS-PED-00003-000,0.8086,7.0711,0.0089,303.4778,1.0,0.0,0.0,374.0,0.8151,5.3852,0.8704,3.6056
BraTS-PED-00004-000,0.0253,346.0628,0.7652,14.6048,1.0,0.0,0.0435,320.025,0.7741,9.0554,0.7746,8.775
BraTS-PED-00005-000,0.8864,1.4142,0.045,256.4279,0.0,374.0,1.0,0.0,0.9035,2.8284,0.9035,2.8284
BraTS-PED-00006-000,1.0,0.0,0.6243,7.8102,1.0,0.0,1.0,0.0,0.6243,7.8102,0.6243,7.8102
BraTS-PED-00008-000,1.0,0.0,0.7987,13.6382,1.0,0.0,1.0,0.0,0.7987,13.6382,0.7987,13.6382
BraTS-PED-00009-000,0.2268,281.0295,0.2298,192.2202,0.107,321.2857,0.1269,258.4936,0.8022,10.4403,0.9301,3.0
BraTS-PED-00010-000,0.7195,8.034,0.9427,2.2361,1.0,0.0,1.0,0.0,0.9554,2.0,0.9554,2.0
BraTS-PED-00013-000,1.0,0.0,0.9275,3.3166,1.0,0.0,1.0,0.0,0.9275,3.3166,0.9275,3.3166
BraTS-PED-00013-100,0.9305,1.0,0.88,5.099,0.0,374.0,0.0,374.0,0.8439,9.9724,0.8426,9.9448
BraTS-PED-00013-101,0.3644,192.1416,0.5723,11.6619,0.0,374.0,1.0,0.0,0.5482,14.7224,0.5481,14.7207
BraTS-PED-00014-000,0.0,374.0,0.8497,8.4853,1.0,0.0,1.0,0.0,0.8786,5.7446,0.8786,5.7446
BraTS-PED-00015-000,1.0,0.0,0.4848,7.0711,1.0,0.0,0.0,374.0,0.4848,7.0711,0.6742,8.2158
BraTS-PED-00016-000,0.0,374.0,0.8969,7.1414,0.0,374.0,1.0,0.0,0.951,2.8284,0.951,2.8284
BraTS-PED-00017-000,0.416,11.4891,0.093,25.865,0.0,374.0,0.1147,34.7275,0.2185,27.5862,0.5765,24.9309
BraTS-PED-00018-000,0.9234,2.2361,0.2117,253.0601,0.0,374.0,0.9062,3.0,0.4762,189.5495,0.9353,7.2387
BraTS-PED-00019-000,0.8497,2.2361,0.0002,331.8001,0.1237,192.3852,0.7713,6.7082,0.1282,302.2067,0.956,2.2361
BraTS-PED-00020-000,0.1437,281.4014,0.8457,2.4495,0.7262,5.1962,1.0,0.0,0.9551,2.2361,0.9551,2.2361
BraTS-PED-00021-000,0.914,2.0,0.0516,302.9363,0.0,374.0,0.882,11.4018,0.2963,252.3701,0.9376,3.7417
BraTS-PED-00022-000,1.0,0.0,0.125,323.0,1.0,0.0,1.0,0.0,0.125,323.0,0.125,323.0
BraTS-PED-00024-000,0.0,374.0,0.1777,193.6538,1.0,0.0,1.0,0.0,0.2183,193.8,0.2183,193.8
BraTS-PED-00025-000,1.0,0.0,0.9518,2.0,1.0,0.0,1.0,0.0,0.9518,2.0,0.9518,2.0
BraTS-PED-00025-100,1.0,0.0,0.836,4.2426,1.0,0.0,1.0,0.0,0.836,4.2426,0.836,4.2426
BraTS-PED-00025-101,1.0,0.0,0.8616,2.8284,1.0,0.0,1.0,0.0,0.8616,2.8284,0.8616,2.8284
BraTS-PED-00025-102,1.0,0.0,0.8736,2.8284,1.0,0.0,1.0,0.0,0.8736,2.8284,0.8736,2.8284
BraTS-PED-00025-103,0.0,374.0,0.7446,6.0828,1.0,0.0,1.0,0.0,0.7937,6.0828,0.7937,6.0828
BraTS-PED-00026-000,0.8933,2.8284,0.2187,250.7863,0.1822,251.4936,1.0,0.0,0.8949,3.6056,0.8949,3.6056
BraTS-PED-00027-000,0.7769,14.0588,0.9444,2.4495,0.0,374.0,1.0,0.0,0.9564,1.4142,0.9564,1.4142
BraTS-PED-00028-000,0.4255,188.5,0.3014,14.3527,0.464,5.8616,0.7362,14.0357,0.7173,12.3288,0.9228,3.0
BraTS-PED-00029-000,0.8432,1.4142,0.812,2.2361,0.6593,4.1231,1.0,0.0,0.9519,1.4142,0.9519,1.4142
BraTS-PED-00030-000,0.555,17.1464,0.7804,5.3852,1.0,0.0,0.3324,193.0415,0.8975,8.544,0.9395,7.0071
BraTS-PED-00031-000,0.5714,16.4317,0.1535,252.5651,0.1488,38.2361,0.1366,231.2929,0.8834,7.0,0.8867,6.7082
BraTS-PED-00032-000,0.8992,3.0,0.0259,323.1309,0.3491,14.8795,0.1706,193.5006,0.8958,5.7446,0.9109,5.0
BraTS-PED-00033-000,0.2058,250.2761,0.328,192.8523,0.0,374.0,0.0557,304.9236,0.3615,193.2909,0.916,4.1231
BraTS-PED-00034-000,0.2757,250.1498,0.0011,255.8823,0.2208,191.4889,0.6344,12.083,0.2013,254.589,0.9203,4.0
BraTS-PED-00035-000,0.3955,190.937,0.3693,189.7386,1.0,0.0,0.0,374.0,0.4264,189.7386,0.4732,188.4142
BraTS-PED-00036-000,0.352,188.2247,0.4086,188.5811,0.4009,192.6125,0.0,374.0,0.4564,188.6583,0.4653,188.4142
BraTS-PED-00037-000,1.0,0.0,0.8335,1.4142,1.0,0.0,1.0,0.0,0.8335,1.4142,0.8335,1.4142
BraTS-PED-00038-000,0.5419,4.899,0.8532,2.8284,1.0,0.0,1.0,0.0,0.8958,3.0,0.8958,3.0
BraTS-PED-00039-000,0.0,374.0,0.8858,6.0,0.0,374.0,0.0,374.0,0.9001,5.099,0.9022,5.099
BraTS-PED-00040-000,0.7782,2.2361,0.5952,7.3485,0.3743,189.3048,0.0,374.0,0.7779,8.0,0.8715,6.7082
BraTS-PED-00041-000,0.0,374.0,0.8327,12.53,1.0,0.0,1.0,0.0,0.8354,12.5698,0.8354,12.5698
BraTS-PED-00042-000,1.0,0.0,0.8341,8.6023,0.0,374.0,1.0,0.0,0.9335,1.7321,0.9335,1.7321
BraTS-PED-00043-000,1.0,0.0,0.4204,191.1533,0.0,374.0,0.0078,270.1672,0.4207,191.2426,0.429,190.4641
BraTS-PED-00044-000,1.0,0.0,0.9301,2.4495,1.0,0.0,1.0,0.0,0.9306,2.2361,0.9306,2.2361
BraTS-PED-00045-000,0.8509,3.0,0.9034,4.1231,0.0,374.0,1.0,0.0,0.9627,1.4142,0.9627,1.4142
BraTS-PED-00046-000,1.0,0.0,0.8718,4.3589,1.0,0.0,0.0,374.0,0.8718,4.3589,0.9386,2.2361
BraTS-PED-00047-000,0.4238,188.8028,0.704,8.0623,0.0,374.0,0.0,374.0,0.8775,3.7417,0.8747,3.7417
BraTS-PED-00048-000,0.2945,250.0787,0.8689,3.1623,1.0,0.0,1.0,0.0,0.9125,4.1231,0.9125,4.1231
BraTS-PED-00049-000,0.7476,2.2361,0.8946,3.0,0.8272,2.8284,1.0,0.0,0.9297,3.0,0.9297,3.0
BraTS-PED-00050-000,0.7326,4.1231,0.8796,4.0,1.0,0.0,1.0,0.0,0.8887,4.0308,0.8887,4.0308
BraTS-PED-00051-000,0.8245,1.4142,0.7779,3.7417,0.569,4.2426,1.0,0.0,0.9295,2.2361,0.9295,2.2361
BraTS-PED-00052-000,1.0,0.0,0.9581,1.7321,1.0,0.0,1.0,0.0,0.9581,1.7321,0.9581,1.7321
BraTS-PED-00053-000,0.7209,2.2361,0.4392,188.5,1.0,0.0,1.0,0.0,0.4489,188.5,0.4489,188.5
BraTS-PED-00054-000,1.0,0.0,0.9629,1.4142,1.0,0.0,1.0,0.0,0.9629,1.4142,0.9629,1.4142
BraTS-PED-00055-000,0.8244,1.7321,0.8284,3.0,0.0,374.0,1.0,0.0,0.9297,1.4142,0.9297,1.4142
BraTS-PED-00056-000,0.8717,1.7321,0.9173,2.2361,0.0,374.0,1.0,0.0,0.9682,1.4142,0.9682,1.4142
BraTS-PED-00057-000,1.0,0.0,0.9232,3.6056,1.0,0.0,1.0,0.0,0.9232,3.6056,0.9232,3.6056
BraTS-PED-00058-000,1.0,0.0,0.7703,7.5498,0.0,374.0,1.0,0.0,0.9259,3.0,0.9259,3.0
BraTS-PED-00059-000,1.0,0.0,0.9664,1.0,1.0,0.0,1.0,0.0,0.9664,1.0,0.9664,1.0
BraTS-PED-00060-000,0.845,6.4031,0.141,312.3333,0.0,374.0,1.0,0.0,0.3045,250.4389,0.3045,250.4389
BraTS-PED-00061-000,0.7371,3.7417,0.7214,5.6569,0.0,374.0,1.0,0.0,0.8398,5.9161,0.8398,5.9161
BraTS-PED-00062-000,0.302,5.0,0.9047,3.6056,1.0,0.0,1.0,0.0,0.9367,1.4142,0.9367,1.4142
BraTS-PED-00063-000,0.3359,191.6877,0.8292,3.1623,1.0,0.0,1.0,0.0,0.4665,188.118,0.4665,188.118
BraTS-PED-00064-000,0.8612,1.4142,0.9305,1.4142,0.8332,2.0,1.0,0.0,0.954,1.4142,0.954,1.4142
BraTS-PED-00065-000,1.0,0.0,0.9503,1.4142,1.0,0.0,1.0,0.0,0.9503,1.4142,0.9503,1.4142
BraTS-PED-00066-000,1.0,0.0,0.9583,2.2361,1.0,0.0,1.0,0.0,0.9583,2.2361,0.9583,2.2361
BraTS-PED-00067-000,0.7119,2.2361,0.4582,188.118,0.8285,2.0,1.0,0.0,0.96,1.4142,0.96,1.4142
BraTS-PED-00068-000,1.0,0.0,0.8897,3.0,1.0,0.0,1.0,0.0,0.8897,3.0,0.8897,3.0
BraTS-PED-00069-000,1.0,0.0,0.8842,6.7082,1.0,0.0,1.0,0.0,0.8842,6.7082,0.8842,6.7082
BraTS-PED-00070-000,0.698,4.5826,0.7187,4.4721,0.0,374.0,1.0,0.0,0.8737,4.1231,0.8737,4.1231
BraTS-PED-00071-000,0.3529,1.4142,0.9673,1.4142,1.0,0.0,1.0,0.0,0.9679,1.4142,0.9679,1.4142
BraTS-PED-00072-000,1.0,0.0,0.9479,1.7321,1.0,0.0,1.0,0.0,0.9479,1.7321,0.9479,1.7321
BraTS-PED-00073-000,0.3608,188.5,0.8177,3.0,0.0,374.0,1.0,0.0,0.9243,2.4495,0.9243,2.4495
BraTS-PED-00074-000,1.0,0.0,0.8676,3.7417,1.0,0.0,1.0,0.0,0.8676,3.7417,0.8676,3.7417
BraTS-PED-00075-000,0.0,374.0,0.8659,5.3852,1.0,0.0,1.0,0.0,0.8939,2.2361,0.8939,2.2361
BraTS-PED-00077-000,0.0,374.0,0.9141,3.0,1.0,0.0,1.0,0.0,0.9213,2.2361,0.9213,2.2361
BraTS-PED-00078-000,0.0,374.0,0.8982,8.4853,0.0,374.0,1.0,0.0,0.9458,3.0,0.9458,3.0
BraTS-PED-00079-000,0.1544,300.0246,0.8346,4.2426,0.0,374.0,1.0,0.0,0.8656,4.2426,0.8656,4.2426
BraTS-PED-00080-000,0.7492,2.4495,0.8074,4.1231,0.329,7.3485,1.0,0.0,0.8943,4.5826,0.8943,4.5826
BraTS-PED-00081-000,0.856,2.2361,0.1354,300.1798,0.7267,5.7446,0.0,374.0,0.9471,2.2361,0.9472,2.2361
BraTS-PED-00082-000,0.905,2.2361,0.115,321.6134,0.3684,11.6961,1.0,0.0,0.9115,5.7446,0.9115,5.7446
BraTS-PED-00083-000,0.8878,1.4142,0.6917,5.099,0.7315,3.1623,1.0,0.0,0.9006,5.6569,0.9006,5.6569
BraTS-PED-00084-000,0.0,374.0,0.9664,1.4142,1.0,0.0,1.0,0.0,0.9676,1.4142,0.9676,1.4142
BraTS-PED-00085-000,0.3901,9.0554,0.8535,4.1231,0.0733,7.8102,0.0,374.0,0.878,4.1231,0.921,2.2361
BraTS-PED-00086-000,1.0,0.0,0.942,1.4142,1.0,0.0,1.0,0.0,0.942,1.4142,0.942,1.4142
BraTS-PED-00087-000,0.0,374.0,0.9593,1.0,1.0,0.0,1.0,0.0,0.9598,1.0,0.9598,1.0
BraTS-PED-00088-000,0.8216,1.4142,0.871,10.2956,0.608,9.1951,1.0,0.0,0.921,11.2738,0.921,11.2738
BraTS-PED-00089-000,0.1233,320.9214,0.1798,282.2678,0.6437,7.874,0.1122,284.0672,0.8931,7.2801,0.9252,3.6056
BraTS-PED-00091-000,0.3753,189.1794,0.2965,10.4881,0.0588,347.6356,0.8318,8.0623,0.8507,5.9161,0.9335,3.1623
BraTS-PED-00093-000,0.6749,13.3041,0.0383,302.153,0.0,374.0,0.0,374.0,0.7934,15.7702,0.796,15.6525
BraTS-PED-00094-000,0.8599,2.8284,0.4431,6.1644,0.6147,8.6023,0.0,374.0,0.8104,6.0,0.9028,3.3756
BraTS-PED-00095-000,0.0,374.0,0.2503,251.0,0.0,374.0,1.0,0.0,0.2513,251.033,0.2513,251.033
BraTS-PED-00096-000,0.3361,188.929,0.5536,13.0671,0.0514,304.4632,0.1551,282.25,0.7139,11.1803,0.8563,5.099
BraTS-PED-00097-000,0.1,283.0125,0.0575,300.6,0.6571,7.5498,0.6918,12.4398,0.4275,191.3012,0.9367,6.4031
BraTS-PED-00098-000,0.0633,255.7797,0.8656,5.0,0.0,374.0,1.0,0.0,0.9475,3.3166,0.9475,3.3166
BraTS-PED-00099-000,0.8406,20.9045,0.0488,340.8954,0.7954,21.0238,1.0,0.0,0.8539,22.4944,0.8539,22.4944
BraTS-PED-00100-000,0.7335,2.5821,0.2027,191.5,0.4,9.8995,1.0,0.0,0.8232,5.6569,0.8232,5.6569
BraTS-PED-00101-000,0.3975,191.1473,0.747,6.3246,0.0201,328.2883,0.0,374.0,0.8741,7.0711,0.8862,7.0711
BraTS-PED-00102-000,1.0,0.0,0.4158,14.3178,1.0,0.0,1.0,0.0,0.4158,14.3178,0.4158,14.3178
BraTS-PED-00103-000,0.7039,3.0,0.809,4.6904,1.0,0.0,1.0,0.0,0.8402,5.1962,0.8402,5.1962
BraTS-PED-00104-000,0.4235,188.5,0.8397,4.1231,1.0,0.0,0.0,374.0,0.8618,4.1231,0.8649,4.0
BraTS-PED-00105-000,0.3637,188.0,0.8824,7.8102,0.0,374.0,1.0,0.0,0.9307,4.0,0.9307,4.0
BraTS-PED-00106-000,0.8101,3.6056,0.837,3.0,0.0,374.0,1.0,0.0,0.9177,2.4495,0.9177,2.4495
BraTS-PED-00107-000,0.0,374.0,0.8942,10.8167,1.0,0.0,1.0,0.0,0.9095,6.4807,0.9095,6.4807
BraTS-PED-00107-100,0.8814,5.727,0.0,374.0,1.0,0.0,1.0,0.0,0.3501,17.8326,0.3501,17.8326
BraTS-PED-00107-101,0.3636,15.6525,0.053,197.9772,1.0,0.0,1.0,0.0,0.0797,197.9202,0.0797,197.9202
BraTS-PED-00108-000,0.1224,12.083,0.8976,5.831,0.0,374.0,1.0,0.0,0.9349,2.0,0.9349,2.0
BraTS-PED-00109-000,0.7487,4.4721,0.37,189.9155,0.8861,15.537,0.0,374.0,0.9164,6.3246,0.9172,6.3246
BraTS-PED-00110-000,0.0,374.0,0.9026,4.1231,1.0,0.0,1.0,0.0,0.9094,3.6056,0.9094,3.6056
BraTS-PED-00112-000,0.1601,252.6667,0.8425,9.2195,1.0,0.0,1.0,0.0,0.8779,9.4393,0.8779,9.4393
BraTS-PED-00113-000,0.7219,2.2361,0.8755,1.4142,1.0,0.0,1.0,0.0,0.946,1.4142,0.9469,1.4142
BraTS-PED-00114-000,0.805,2.4495,0.8655,2.8284,0.0,374.0,1.0,0.0,0.9293,2.4495,0.9293,2.4495
BraTS-PED-00114-100,0.8496,4.6904,0.4658,188.0,0.0,374.0,1.0,0.0,0.4812,187.866,0.4814,187.866
BraTS-PED-00114-101,0.8801,3.0,0.3932,191.0927,0.0,374.0,0.3498,192.9372,0.8817,9.0609,0.9672,1.4142
BraTS-PED-00115-000,1.0,0.0,0.9278,2.4495,1.0,0.0,1.0,0.0,0.9278,2.4495,0.9278,2.4495
BraTS-PED-00115-100,0.0,374.0,0.932,2.8284,1.0,0.0,1.0,0.0,0.9373,2.2361,0.9374,2.2361
BraTS-PED-00115-101,0.9631,1.0,0.9626,1.0,0.0,374.0,1.0,0.0,0.967,1.4142,0.967,1.4142
BraTS-PED-00116-000,1.0,0.0,0.9027,3.1623,1.0,0.0,0.0248,45.6881,0.9027,3.1623,0.9329,2.2361
BraTS-PED-00117-000,1.0,0.0,0.8679,6.3246,1.0,0.0,1.0,0.0,0.8679,6.3246,0.8679,6.3246
BraTS-PED-00117-100,0.7807,3.3166,0.3807,188.118,0.0,374.0,1.0,0.0,0.4722,187.7071,0.4722,187.7071
BraTS-PED-00117-101,0.5008,3.6056,0.9402,1.7321,1.0,0.0,1.0,0.0,0.9774,1.0,0.9774,1.0
BraTS-PED-00118-000,0.5808,3.1392,0.2981,250.3333,1.0,0.0,1.0,0.0,0.2992,250.3333,0.2992,250.3333
BraTS-PED-00118-100,0.883,1.7321,0.9031,2.2361,0.0,374.0,0.0,374.0,0.9572,2.2361,0.9673,1.4142
BraTS-PED-00118-101,0.5172,7.5332,0.8484,8.775,1.0,0.0,0.0,374.0,0.8823,9.5052,0.885,8.6023
BraTS-PED-00119-100,0.0205,255.0972,0.0379,199.8647,0.0,374.0,0.0,374.0,0.0678,200.2098,0.0675,200.2476
BraTS-PED-00119-101,0.0379,195.0777,0.1952,16.2711,0.0,374.0,0.0,374.0,0.2948,16.9086,0.2894,18.4932
BraTS-PED-00121-000,1.0,0.0,0.4453,189.6926,1.0,0.0,1.0,0.0,0.4453,189.6926,0.4453,189.6926
BraTS-PED-00122-000,0.6057,3.2703,0.6527,5.0,0.2209,190.1623,0.3729,21.974,0.886,7.6158,0.893,6.6143
BraTS-PED-00123-000,1.0,0.0,0.3235,11.0454,1.0,0.0,1.0,0.0,0.3235,11.0454,0.3235,11.0454
BraTS-PED-00124-000,1.0,0.0,0.7394,7.0,0.0281,29.5745,1.0,0.0,0.9018,3.6056,0.9018,3.6056
BraTS-PED-00125-000,0.7231,13.2665,0.2124,197.9659,0.0,374.0,0.0,374.0,0.5123,21.3073,0.5112,21.3073
BraTS-PED-00126-000,0.6244,5.099,0.7613,3.6056,0.0,374.0,1.0,0.0,0.8933,3.6056,0.8933,3.6056
BraTS-PED-00127-000,0.8076,1.4142,0.9337,3.0,1.0,0.0,1.0,0.0,0.9363,3.0,0.9363,3.0
BraTS-PED-00128-000,1.0,0.0,0.9333,2.4495,1.0,0.0,1.0,0.0,0.9333,2.4495,0.9333,2.4495
BraTS-PED-00129-000,0.8381,2.4495,0.6572,3.7417,0.1125,251.4677,1.0,0.0,0.9046,3.3166,0.9046,3.3166
BraTS-PED-00130-000,1.0,0.0,0.8249,7.8102,1.0,0.0,0.0,374.0,0.8249,7.8102,0.9281,3.6056
BraTS-PED-00131-000,0.856,2.118,0.3024,10.8167,1.0,0.0,0.1456,34.0,0.3951,11.0,0.869,4.899
BraTS-PED-00132-000,1.0,0.0,0.8613,4.1231,1.0,0.0,1.0,0.0,0.8613,4.1231,0.8613,4.1231
BraTS-PED-00133-000,0.1287,300.2,0.7919,8.6023,1.0,0.0,0.15,36.4143,0.8114,9.4868,0.9113,7.2801
BraTS-PED-00134-000,0.322,190.3912,0.2593,251.7828,1.0,0.0,1.0,0.0,0.2749,251.7828,0.2749,251.7828
BraTS-PED-00135-000,1.0,0.0,0.1953,254.0119,0.0,374.0,0.0,374.0,0.1958,254.0119,0.2922,251.5444
BraTS-PED-00136-000,0.8012,11.077,0.2364,193.8392,0.0,374.0,0.0,374.0,0.3828,26.1725,0.4382,26.3439
BraTS-PED-00137-000,0.0,374.0,0.7982,8.5702,1.0,0.0,1.0,0.0,0.8236,6.7823,0.8236,6.7823
BraTS-PED-00138-000,0.7105,3.6056,0.0651,337.6,0.003,314.9538,0.7264,28.1069,0.2201,282.4203,0.9331,3.5348
BraTS-PED-00139-000,0.4319,4.5826,0.9071,3.0,1.0,0.0,1.0,0.0,0.9102,3.0,0.9102,3.0
BraTS-PED-00140-000,0.7978,4.2426,0.5809,13.9284,1.0,0.0,1.0,0.0,0.7608,5.831,0.7608,5.831
BraTS-PED-00141-000,0.6919,11.8743,0.0,374.0,0.0,374.0,0.3733,14.0712,0.1646,199.4599,0.8658,6.4031
BraTS-PED-00142-000,0.0,374.0,0.9284,5.7446,1.0,0.0,1.0,0.0,0.9335,2.4495,0.9335,2.4495
BraTS-PED-00143-000,0.7803,2.2361,0.5268,6.0,0.1507,19.0263,0.0,374.0,0.9097,3.3166,0.9129,3.3012
BraTS-PED-00144-000,1.0,0.0,0.669,9.3365,0.0,374.0,0.0,374.0,0.7156,8.124,0.8525,5.2212
BraTS-PED-00145-000,0.8633,1.4142,0.6444,10.8628,1.0,0.0,0.0,374.0,0.6739,11.6619,0.875,4.5826
BraTS-PED-00146-000,0.0,374.0,0.1077,194.2629,1.0,0.0,0.0054,218.0644,0.1239,194.9687,0.3287,15.9374
BraTS-PED-00147-000,0.7767,2.9571,0.7604,4.1231,1.0,0.0,0.0,374.0,0.7919,4.3356,0.8264,11.225
BraTS-PED-00148-000,0.0694,287.5444,0.7311,9.6437,0.0,253.9159,0.0189,317.3582,0.4185,193.0415,0.2865,252.1022
BraTS-PED-00149-000,1.0,0.0,0.8386,5.6569,1.0,0.0,1.0,0.0,0.8386,5.6569,0.8386,5.6569
BraTS-PED-00150-000,1.0,0.0,0.9417,2.2361,1.0,0.0,1.0,0.0,0.9417,2.2361,0.9417,2.2361
BraTS-PED-00151-000,1.0,0.0,0.2011,194.433,1.0,0.0,1.0,0.0,0.2011,194.433,0.2011,194.433
BraTS-PED-00152-000,1.0,0.0,0.2765,18.0555,1.0,0.0,1.0,0.0,0.2765,18.0555,0.2765,18.0555
BraTS-PED-00153-000,0.0,374.0,0.5731,22.2935,0.0,374.0,1.0,0.0,0.4643,23.9583,0.4643,23.9583
BraTS-PED-00154-000,1.0,0.0,0.6658,16.1183,1.0,0.0,1.0,0.0,0.6658,16.1183,0.6658,16.1183
BraTS-PED-00155-000,0.3263,42.8089,0.4247,14.0,1.0,0.0,0.0,374.0,0.5608,20.0075,0.6668,19.0512
BraTS-PED-00156-000,1.0,0.0,0.4977,34.4529,1.0,0.0,0.0,374.0,0.4977,34.4529,0.4988,34.4529
BraTS-PED-00158-000,1.0,0.0,0.9387,2.2361,1.0,0.0,1.0,0.0,0.9387,2.2361,0.9387,2.2361
BraTS-PED-00159-000,0.605,6.7486,0.8972,2.8284,0.8386,2.0,1.0,0.0,0.9247,3.3166,0.9247,3.3166
